N,n,C,Q,A,agent_answer,extracted_number,Correct
1,1,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans is 11503415.92.,11503415.92,True
2,2,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
3,3,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the 3 largest loans: 11503415.92,11503415.92,True
4,4,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
5,5,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
6,6,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
7,7,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92.,11503415.92,True
8,8,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
9,9,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92.,11503415.92,True
10,10,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
11,11,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 3,550,000.0.",3550000.0,False
12,12,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
13,13,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the 3 largest loans is 11,503,415.92 CHF.",11503415.92,True
14,14,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans in the portfolio is 11503415.92.,11503415.92,True
15,15,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92 CHF.",11503415.92,True
16,16,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,The total exposure of the 3 largest loans is 11503415.92 CHF.,11503415.92,True
17,17,1A,What is the total (the sum) exposure of the 3 largest loans in the portfolio?,11503415.92,Total exposure of the three largest loans: 11503415.92,11503415.92,True
